24-03-24 17:38:00.343 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9191 (http) 
24-03-24 17:38:00.359 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9191"] 
24-03-24 17:38:00.364 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
24-03-24 17:38:00.366 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19] 
24-03-24 17:38:00.500 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext 
24-03-24 17:38:00.500 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2490 ms 
24-03-24 17:38:00.826 [cluster-ClusterId{value='660017a000eb583cd9837eb7', description='null'}-srv-cluster0.iub46pf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-te3zfa8-shard-00-01.iub46pf.mongodb.net:27017 to client view of cluster 
24-03-24 17:38:00.837 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.9.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.2+13-LTS-58"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='syankitas1d', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@383cb5ce, com.mongodb.Jep395RecordCodecProvider@798deee8]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.iub46pf.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-vs6pvb-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
24-03-24 17:38:00.863 [cluster-ClusterId{value='660017a000eb583cd9837eb7', description='null'}-srv-cluster0.iub46pf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-te3zfa8-shard-00-02.iub46pf.mongodb.net:27017 to client view of cluster 
24-03-24 17:38:00.864 [cluster-ClusterId{value='660017a000eb583cd9837eb7', description='null'}-srv-cluster0.iub46pf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-te3zfa8-shard-00-00.iub46pf.mongodb.net:27017 to client view of cluster 
24-03-24 17:38:01.396 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$$Lambda/0x00000221b2598628@1be52861 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-te3zfa8-shard-00-02.iub46pf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-te3zfa8-shard-00-00.iub46pf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-te3zfa8-shard-00-01.iub46pf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
24-03-24 17:38:01.861 [cluster-ClusterId{value='660017a000eb583cd9837eb7', description='null'}-ac-te3zfa8-shard-00-01.iub46pf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-te3zfa8-shard-00-01.iub46pf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=455087700, setName='atlas-vs6pvb-shard-0', canonicalAddress=ac-te3zfa8-shard-00-01.iub46pf.mongodb.net:27017, hosts=[ac-te3zfa8-shard-00-01.iub46pf.mongodb.net:27017, ac-te3zfa8-shard-00-02.iub46pf.mongodb.net:27017, ac-te3zfa8-shard-00-00.iub46pf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-te3zfa8-shard-00-02.iub46pf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=65fc5129233a47a815fdb88a, counter=3}, lastWriteDate=Sun Mar 24 17:38:42 IST 2024, lastUpdateTimeNanos=6540637517900} 
24-03-24 17:38:01.861 [cluster-ClusterId{value='660017a000eb583cd9837eb7', description='null'}-ac-te3zfa8-shard-00-00.iub46pf.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-te3zfa8-shard-00-00.iub46pf.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=456117200, setName='atlas-vs6pvb-shard-0', canonicalAddress=ac-te3zfa8-shard-00-00.iub46pf.mongodb.net:27017, hosts=[ac-te3zfa8-shard-00-01.iub46pf.mongodb.net:27017, ac-te3zfa8-shard-00-02.iub46pf.mongodb.net:27017, ac-te3zfa8-shard-00-00.iub46pf.mongodb.net:27017], passives=[], arbiters=[], primary='ac-te3zfa8-shard-00-02.iub46pf.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=1, topologyVersion=TopologyVersion{processId=65fc4e46db5d549c811a9599, counter=4}, lastWriteDate=Sun Mar 24 17:38:42 IST 2024, lastUpdateTimeNanos=6540637159400} 
